date,close_price
2017-11-08,23.02
2017-11-09,22.73
2017-11-10,22.82
2017-11-13,23.16
2017-11-14,23.5
2017-11-15,23.4
2017-11-16,23.35
2017-11-17,23.26
2017-11-20,23.21
2017-11-21,23.26
2017-11-22,24.85
2017-11-23,24.47
2017-11-24,24.47
2017-11-27,24.37
2017-11-28,24.18
2017-11-29,24.76
2017-11-30,24.8
2017-12-01,24.66
2017-12-04,24.66
2017-12-05,24.08
2017-12-06,24.03
2017-12-07,24.18
2017-12-08,24.18
2017-12-11,23.21
2017-12-12,23.31
2017-12-13,23.11
2017-12-14,23.64
2017-12-15,23.5
2017-12-18,23.55
2017-12-19,23.31
2017-12-20,23.69
2017-12-21,23.4
2017-12-22,23.06
2017-12-25,23.02
2017-12-26,23.31
2017-12-27,23.6
2017-12-28,23.93
2017-12-29,24.66
2018-01-02,26.11
2018-01-03,25.92
2018-01-04,26.64
2018-01-05,26.5
2018-01-08,26.93
2018-01-09,26.5
2018-01-10,26.55
2018-01-11,26.69
2018-01-12,26.35
2018-01-15,26.4
2018-01-16,26.79
2018-01-17,26.11
2018-01-18,26.21
2018-01-19,26.01
2018-01-22,27.51
2018-01-25,29.4
2018-01-26,31.43
2018-01-29,33.46
2018-01-30,34.81
2018-01-31,33.07
2018-02-01,32.59
2018-02-02,32.59
2018-02-05,30.32
2018-02-06,28.24
2018-02-07,30.17
2018-02-08,31.14
2018-02-09,31.24
2018-02-12,33.41
2018-02-13,34.23
2018-02-21,36.17
2018-02-22,35.59
2018-02-23,35.88
2018-02-26,36.84
2018-02-27,36.89
2018-02-28,37.71
2018-03-01,36.55
2018-03-02,36.55
2018-03-05,34.04
2018-03-06,36.41
2018-03-07,36.26
2018-03-08,35.97
2018-03-09,36.02
2018-03-12,37.33
2018-03-13,37.91
2018-03-14,37.71
2018-03-15,40.33
2018-03-16,41.39
2018-03-19,40.33
2018-03-20,41.1
2018-03-21,42.07
2018-03-22,42.84
2018-03-23,40.95
2018-03-26,43.42
2018-03-27,42.65
2018-03-28,43.08
2018-03-29,42.55
2018-03-30,41.97
2018-04-02,43.52
2018-04-03,43.61
2018-04-04,43.32
2018-04-05,42.55
2018-04-06,42.55
2018-04-09,42.94
2018-04-10,44
2018-04-11,43.03
2018-04-12,42.94
2018-04-13,40.62
2018-04-16,38.68
2018-04-17,40.52
2018-04-18,38.87
2018-04-19,36.75
2018-04-20,38.15
2018-04-23,35.49
2018-04-24,36.75
2018-04-26,35.3
2018-04-27,34.91
2018-05-02,32.49
2018-05-03,32.59
2018-05-04,31.43
2018-05-07,33.6
2018-05-08,34.33
2018-05-09,33.85
2018-05-10,31.62
2018-05-11,32.88
2018-05-14,33.17
2018-05-15,33.46
2018-05-16,32.11
2018-05-17,31.91
2018-05-18,31.86
2018-05-21,30.46
2018-05-22,28.33
2018-05-23,29.45
2018-05-24,28.67
2018-05-25,26.79
2018-05-28,24.95
2018-05-29,26.69
2018-05-30,26.69
2018-05-31,28.29
2018-06-01,28.72
2018-06-04,29.49
2018-06-05,29.4
2018-06-06,30.75
2018-06-07,30.17
2018-06-08,30.46
2018-06-11,29.98
2018-06-12,28.62
2018-06-13,28.67
2018-06-14,27.37
2018-06-15,28.04
2018-06-18,26.4
2018-06-19,25.92
2018-06-20,27.08
2018-06-21,25.92
2018-06-22,26.59
2018-06-25,27.27
2018-06-26,26.88
2018-06-27,25.92
2018-06-28,25.05
2018-06-29,25.14
2018-07-02,23.93
2018-07-03,22.29
2018-07-04,22.15
2018-07-05,20.89
2018-07-06,22.34
2018-07-09,22.53
2018-07-10,22.87
2018-07-11,21.37
2018-07-12,22.24
2018-07-13,22.73
2018-07-16,23.35
2018-07-17,24.08
2018-07-18,25.29
2018-07-19,24.95
2018-07-20,24.56
2018-07-23,23.98
2018-07-24,23.98
2018-07-25,22.82
2018-07-26,23.31
2018-07-27,23.98
2018-07-30,25.43
2018-07-31,25.43
2018-08-01,25.43
2018-08-02,25.34
2018-08-03,25.67
2018-08-06,25.97
2018-08-07,26.55
2018-08-08,28.24
2018-08-09,27.9
2018-08-10,28.91
2018-08-13,29.49
2018-08-14,29.01
2018-08-15,28.33
2018-08-16,29.01
2018-08-17,30.07
2018-08-20,30.37
2018-08-21,31.91
2018-08-22,31.43
2018-08-23,31.96
2018-08-24,32.3
2018-08-27,32.88
2018-08-28,32.59
2018-08-29,32.54
2018-08-30,33.75
2018-08-31,33.27
2018-09-04,31.43
2018-09-05,32.01
2018-09-06,31.67
2018-09-07,32.78
2018-09-10,32.88
2018-09-11,34.14
2018-09-12,33.6
2018-09-13,33.85
2018-09-14,33.7
2018-09-17,33.07
2018-09-18,34.09
2018-09-19,34.14
2018-09-20,34.33
2018-09-21,34.14
2018-09-24,33.75
2018-09-25,33.85
2018-09-26,33.75
2018-09-27,33.51
2018-09-28,34.04
2018-10-01,33.6
2018-10-02,35.01
2018-10-03,35.44
2018-10-04,35.54
2018-10-05,34.33
2018-10-08,34.81
2018-10-09,34.91
2018-10-10,34.18
2018-10-11,31.82
2018-10-12,32.69
2018-10-15,31.53
2018-10-16,32.4
2018-10-17,33.46
2018-10-18,33.46
2018-10-19,33.46
2018-10-22,33.85
2018-10-23,33.75
2018-10-24,31.53
2018-10-25,30.17
2018-10-26,29.59
2018-10-29,27.95
2018-10-30,26.69
2018-10-31,28.53
2018-11-01,29.35
2018-11-02,31.38
2018-11-05,31.72
2018-11-06,30.95
2018-11-07,31.38
2018-11-08,31.38
2018-11-09,30.66
2018-11-12,31.14
2018-11-13,29.98
2018-11-14,29.01
2018-11-15,29.98
2018-11-16,31.14
2018-11-19,31.14
2018-11-20,30.66
2018-11-21,30.95
2018-11-22,30.8
2018-11-23,30.66
2018-11-26,30.61
2018-11-27,30.41
2018-11-28,30.51
2018-11-29,30.22
2018-11-30,30.37
2018-12-03,32.44
2018-12-04,32.3
2018-12-05,32.73
2018-12-06,32.59
2018-12-07,32.59
2018-12-10,32.59
2018-12-11,32.44
2018-12-12,33.51
2018-12-13,33.17
2018-12-14,32.78
2018-12-17,32.11
2018-12-18,32.54
2018-12-19,32.2
2018-12-20,32.83
2018-12-21,32.88
2018-12-24,32.88
2018-12-25,31.67
2018-12-26,31.53
2018-12-27,32.88
2018-12-28,33.27
2019-01-02,32.4
2019-01-03,30.95
2019-01-04,30.51
2019-01-07,31.24
2019-01-08,30.95
2019-01-09,31.91
2019-01-10,31.43
2019-01-11,30.85
2019-01-14,30.85
2019-01-15,31.43
2019-01-16,31.14
2019-01-17,30.9
2019-01-18,30.66
2019-01-21,31.77
2019-01-22,31.67
2019-01-23,31.62
2019-01-24,31.43
2019-01-25,30.99
2019-01-28,30.85
2019-01-29,30.66
2019-01-30,30.66
2019-01-31,30.46
2019-02-01,30.56
2019-02-11,30.9
2019-02-12,31.38
2019-02-13,31.43
2019-02-14,31.33
2019-02-15,32.06
2019-02-18,32.4
2019-02-19,31.82
2019-02-20,32.88
2019-02-21,33.12
2019-02-22,32.88
2019-02-25,32.88
2019-02-26,32.49
2019-02-27,32.49
2019-02-28,31.43
2019-03-01,31.77
2019-03-04,32.49
2019-03-05,33.46
2019-03-06,33.6
2019-03-07,33.75
2019-03-08,32.88
2019-03-11,32.54
2019-03-12,34.33
2019-03-13,34.43
2019-03-14,35.01
2019-03-15,35.97
2019-03-18,36.07
2019-03-19,35.39
2019-03-20,34.91
2019-03-21,33.65
2019-03-22,33.94
2019-03-25,33.36
2019-03-26,33.17
2019-03-27,33.75
2019-03-28,34.43
2019-03-29,34.62
2019-04-01,34.33
2019-04-02,33.65
2019-04-03,34.52
2019-04-04,34.14
2019-04-05,33.89
2019-04-08,34.33
2019-04-09,34.57
2019-04-10,34.04
2019-04-11,33.99
2019-04-12,33.6
2019-04-16,34.33
2019-04-17,33.65
2019-04-18,33.65
2019-04-19,33.7
2019-04-22,33.07
2019-04-23,33.07
2019-04-24,33.46
2019-04-25,33.36
2019-04-26,33.65
2019-05-02,33.36
2019-05-03,33.07
2019-05-06,32.01
2019-05-07,32.01
2019-05-08,31.28
2019-05-09,30.07
2019-05-10,30.95
2019-05-13,31.62
2019-05-14,31.33
2019-05-15,31.82
2019-05-16,31.53
2019-05-17,31.09
2019-05-20,31.62
2019-05-21,31.96
2019-05-22,32.11
2019-05-23,32.3
2019-05-24,31.43
2019-05-27,31.53
2019-05-28,31.24
2019-05-29,30.95
2019-05-30,30.75
2019-05-31,30.46
2019-06-03,29.59
2019-06-04,30.95
2019-06-05,30.37
2019-06-06,30.27
2019-06-07,30.66
2019-06-10,30.66
2019-06-11,30.85
2019-06-12,30.46
2019-06-13,30.46
2019-06-14,31.09
2019-06-17,31.04
2019-06-18,30.95
2019-06-19,30.95
2019-06-20,31.57
2019-06-21,31.43
2019-06-24,31.53
2019-06-25,31.04
2019-06-26,31.43
2019-06-27,30.95
2019-06-28,30.66
2019-07-01,31.28
2019-07-02,30.99
2019-07-03,31.04
2019-07-04,31.72
2019-07-05,31.72
2019-07-08,31.48
2019-07-09,31.53
2019-07-10,31.33
2019-07-11,32.35
2019-07-12,32.3
2019-07-15,32.2
2019-07-16,33.41
2019-07-17,33.41
2019-07-18,33.56
2019-07-19,33.75
2019-07-22,34.57
2019-07-23,34.09
2019-07-24,33.31
2019-07-25,34.04
2019-07-26,34.62
2019-07-29,34.62
2019-07-30,33.85
2019-07-31,34.33
2019-08-01,34.28
2019-08-02,34.62
2019-08-05,34.62
2019-08-06,34.04
2019-08-07,33.56
2019-08-08,33.56
